rank|status|study|conditions|interventions|study_type|phase|funder_type|outcome_measures|number_enrolled|nct_number|start_date
52|Recruiting|Lipiflow Versus Warm Compresses in Parkinson&apos;s Disease||Device:LipiFlowsystem;  Procedure:Warmcompresses|Interventional||Other|Meibomian gland assessment defined as assessment of 15 glands on the lower eyelid margin using a handheld instrument the Meibomian Gland Evaluator.;  Tearbreakuptime;  Assessment of dry eye symptoms with Ocular Surface Disease Index (OSDI) score before and after treatment;  Best spectacle-corrected visual acuity (BSCVA) with high-contrast Early Treatment Diabetic Retinopathy Study (ETDRS) logMAR chart using the ETDRS-Fast method under standard illumination;  CornealStaining;  SPEED Questionnaire assessment of dry eye symptoms before and after treatment|25|NCT02894658|August 2016
53|Recruiting|Effects of Exercise Training Intensity on Fitness and Insulin Sensitivity in African Americans||Behavioral: Moderate intensity exercise training (MOD-INT);  Behavioral: High Intensity exercise training (HI-INT)|Interventional||Other|Changeincardiorespiratoryfitness;  Changeinbodycomposition;  Changeinbodyweight;  Changeinwaistcircumference;  Changesinphysicalactivitylevels;  Changeindietarycomposition;  Changesinbloodlipidsconcentrations;  Changeinsystemicinflammation;  Changeininsulinsensitivity;  Changeinarterialstiffness;  Changeinqualityoflife;  Change in mitochondrial enzymes and protein content|60|NCT02892331|October 2016
54|Not yet recruiting|Hepatic Resection for Metastatic Pancreatic Adenocarcinoma|||Observational||Other|90-daymortality;  disease-freesurvival;  overallmortality;  surgicalsiteinfection;  bleedingpostoperatively;  pancreaticleak;  bloodclot;  reoperation;  readmissiontohospital;  tumorhistology;  marginstatus;  lymphnodestatus;  CA19-9levels;  timetostartoftherapyfromdiagnosis;  ORtime;  intraoperativetransfusion;  fluidadministrationintraoperatively;  estimatedbloodloss;  timetoendoftherapyfromdiagnosis;  useofextraoralfeeding;  useofneoadjuvanttherapy;  useofadjuvanttherapy|50|NCT02892305|September 2016
55|Completed|Evaluation of Go NAP SACC&apos;s Web-based Tools for Child Care||Behavioral:GoNAPSACC|Interventional||Other|Change in EPAO-SR Scores from Baseline to Post-intervention|102|NCT02889198|May 2014
56|Completed|Pokemon Go and Physical Activity|||Observational||Other|Averagenumberofstepsperday;  ChangeinnumberofstepsafterPokemonGo;  Greaterthan10000stepsperday|167|NCT02888314|August 2016
57|Not yet recruiting|SIMT Stereotactic Radiosurgery Outcomes Study||Radiation:Stereotacticradiosurgery|Interventional||Other / Industry|Proportion of patients who live longer than predicted according to the Graded Prognostic Assessment (GPA) score;  Proportion of patients that experience local brain recurrence within 1 year of SIMT SRS treatment.;  Proportion of patients who are dead within 1 year of SIMT SRS treatment due to neurologic reasons;  Proportion of patients that experience a new brain metastasis at a site different from the original brain metastasis site 1 year after SIMT SRS treatment;  Proportion of patients who experience grade 3 4 or 5 neurologic adverse events attributable to SIMT SRS|40|NCT02886572|October 2016
58|Recruiting|Pulmonary Embolism Short-term Clinical Outcomes Registry|||Observational||Other|ClinicalDeterioration;  Rightventriculardysfunction(RVD);  FunctionalOutcome;  PulmonaryEmbolismComplications|880|NCT02883491|August 2016
59|Recruiting|Spironolactone After Liver Transplant||Drug:Spironolactone|Interventional|Phase 4|Other|GFR|36|NCT02883400|December 2014
60|Recruiting|Curved Soft-Picks on Plaque Accumulation on Patients With Gingivitis||Device:Soft-PicksAdvanced;  Device:Floss|Interventional||Industry|ModificationoftheQuigley-HeinPlaqueIndex;  Performance of an assigned product based on user experience;  UNCModifiedGingivalIndex;  BleedingonProbing;  ProbingPocketDepth|44|NCT02883244|December 2016
61|Not yet recruiting|Carboplatin and Paclitaxel With or Without Atezolizumab Before Surgery in Treating Patients With Newly Diagnosed Stage II-III Triple-Negative Breast Cancer||Drug:Atezolizumab;  Drug:Carboplatin;  Other:LaboratoryBiomarkerAnalysis;  Procedure:Lumpectomy;  Procedure:Mastectomy;  Drug:Paclitaxel|Interventional|Phase 2|NIH|Increase in TIL percentage measured by histopathologic assay;  IncreaseinpCRrate|60|NCT02883062|March 2017
62|Recruiting|Targeting Pro-Inflammatory Cells in Idiopathic Pulmonary Fibrosis: a Human Trial||Drug:Dasatinib+Quercetin|Interventional|Phase 1|Other|Reduction in the % of pro-inflammatory expressing cells|7|NCT02874989|August 2016
63|Not yet recruiting|Development of a Novel Transdiagnostic Intervention for Anhedonia||Behavioral:BehavioralActivation;  Behavioral:MindfulnessTreatment|Interventional||Other|Change from Baseline to Week 15 in Neural Activation;  Change from Baseline to Week 15 in Snaith-Hamilton Pleasure Scale Score|210|NCT02874534|December 2016
64|Recruiting|Acute Concussion Therapy Intervention Training in Healthy and Concussed Participants||Other:ACTIVETraining|Interventional|Phase 1 / Phase 2|Other|AverageDaystoRecovery;  AverageChangeinMentalStatus;  AverageChangedinBalance;  AverageChangeinCognition;  AverageChangeinNear-PointConvergence;  AverageChangeinConcussiveSymptoms|100|NCT02872480|August 2016
65|Recruiting|Prenatal Cocaine Nasal Oxytocin and Maternal Psychophysiology||Drug:Syntocinontreatment;  Other:Placebo|Interventional|Phase 1|Other|The effects of a 2-week trial of twice nasal oxytocin compared with placebo on maternal sensitivity;  The effects of a 2-week trial of nasal oxytocin compared with placebo on maternal reactivity to a social stressor indexed by change in vascular resistance from pre- to post-test nasal spray.;  The effects of a 2-week trial of nasal oxytocin compared with placebo on maternal reactivity to a social stressor indexed by change in plasma norepinephrine.;  The effects of a 2-week trial of nasal oxytocin compared with placebo on maternal reactivity to a social stressor indexed by self-reported affective ratings.|32|NCT02872467|May 2016
66|Recruiting|Valued EpiGenetic Glycemic ImprovEments Through Weight Loss||Behavioral:WeightLossGroup;  Behavioral:DelayedWeightLoss|Interventional||Other / Industry / NIH|Chang in Epigengene score (and related individual transcriptional and methylation measures);  changeinglucosetolerance;  change in homeostatic model assessment (HOMA) estimates of insulin resistance|200|NCT02869659|October 2016
67|Recruiting|Accelerated Invisalign Therapy in Conjunction With Acceledent Aura||Device:AcceleDentAura;  Device:AcceleratedInvisaligntherapy|Interventional|Phase 4|Other / Industry|Rate of orthodontic tooth movement [Little&apos;s Irregularity Index mm/day percent];  Activity of Bone Turnover Markers (BTMs) during Orthodontic Tooth Movement [Quantitative Polymerase Chain Reaction (qPCR) Cycle threshold values (Ct)];  Patient Discomfort [Visual Analog Scale in conjunction with Faces Pain Scale 1-10]|30|NCT02868554|August 2016
68|Recruiting|Resection Versus Microwave Ablation for Resectable Colorectal Cancer Liver Metastases||Device:Microwaveablation;  Procedure:Hepaticresection|Interventional||Other|Localdiseasecontrolatthesiteofintervention;  Overallsurvival;  Intrahepaticdisease-freesurvival;  Postoperativemorbidity;  Postoperativemortality|164|NCT02866344|August 2016
69|Completed|Mobile Technology and Online Tools to Track Adherence in Chronic Illness Patients||Behavioral:PlanetK|Interventional|Phase 2|Industry|KnowledgeofCKD;  End Stage Renal Disease-Adherence Questionnaire (ESRD-AQ);  PerceivedTreatmentBenefits;  STARxTransitionReadinessQuestionnaire;  ChronicKidneyDiseaseSelf-EfficacyInstrument;  Self-Management:Self-Efficacy for Managing Chronic Disease Scale;  Self-Management:PartnersinHealthScale;  QualityofLife|68|NCT02864641|July 2015
70|Not yet recruiting|Peptide Targets for Glioblastoma Against Novel Cytomegalovirus Antigens||Drug:5-dayTMZ;  Drug:21-dayTMZ;  Biological:PEP-CMV;  Drug:Tetanus-Diphtheriabooster;  Drug:TetanusPre-Conditioning|Interventional|Phase 1|Other / NIH|IncidenceofTreatment-relatedAdverseEvents;  ImmunologicResponse;  AntigenLoss|45|NCT02864368|December 2016
71|Active not recruiting|COMRADE: Collaborative Care Management for Distress and Depression in Rural Diabetes||Behavioral:IntegratedBehavioralCare|Interventional||Other / Industry|ChangeinGlycosylatedHemoglobin;  Change in Diabetes Related Distress measured by diabetes related distress scale (DDS-17)|139|NCT02863523|September 2014
72|Active not recruiting|Mobile Technology &amp; Online Tools to Track Adherence in Chronic Illness Patients||Behavioral:PlanetT1D|Interventional|Phase 2|Industry|KnowledgeofType1DiabetesDisease;  DiabetesManagementQuestionnaire(DMQ);  PerceivedTreatmentBenefits;  STARxTransitionReadinessQuestionnaire;  DiabetesSelf-Efficacyscale;  Self-Management: Self-Efficacy for Managing Chronic Disease Scale;  Self-Management:PartnersinHealthScale;  QualityofLife|200|NCT02861157|July 2015
73|Recruiting|Characterizing HIV-related Diastolic Dysfunction|||Observational||Other|persistent inflammation between HIV+/DD- and HIV+/DD+ subjects;  immune activation between HIV+/DD- and HIV+/DD+ subjects;  inflammation between HIV+/DD- and HIV+/DD+ subjects;  Perform phenomics of aggregate demographic data to define risk factor phenotype signatures and relate these to HIV+/DD- and HIV+/DD+ subjects;  myocardial fibrosis by magnetic resonance imaging between HIV+/DD- and HIV+/DD+;  serumlevelsofbiomarkers;  novel mechanisms underlying DD in HIV+ subjects as measured by proteomic and metabolomics panels;  the effect of DD on mechanics of the left atrium in HIV;  sub-clinicalnecrosisinHIV+/DD+subjects;  myocardialstressinHIV+/DD+subjects;  Perform phenomics of aggregate clinical data to define risk factor phenotype signatures and relate these to HIV+/DD- and HIV+/DD+ subjects;  Perform phenomics of aggregate biomarker data to define risk factor phenotype signatures and relate these to HIV+/DD- and HIV+/DD+ subjects;  Perform phenomics of aggregate electrocardiogram data to define risk factor phenotype signatures and relate these to HIV+/DD- and HIV+/DD+ subjects;  Perform phenomics of aggregate imaging data to define risk factor phenotype signatures and relate these to HIV+/DD- and HIV+/DD+ subjects|200|NCT02860156|November 2016
74|Not yet recruiting|CaREFREE Study (Calorie Restriction Environment and Fitness: Reproductive Effects Evaluation Study)||Behavioral:NEA;  Behavioral:DEA|Interventional|Phase 0|NIH|The primary outcome measure will be change in daytime LH pulse frequency following 5 days of neutral energy availability as compared to LH pulse frequency following 5 days deficient energy availability. LH pulse frequency will be derived from 2 ...;  Change in hormone measures (LH FSH estradiol and progesterone from daily urine samples and blood spots total cycle follicular and luteal phase length during the cycle following NEA or DEA;  Change in leptin ghrelin adiponectin insulin and glucose in response to standardized breakfast lunch and snack;  ChangeincortisolTSHTT3andfT4|50|NCT02858336|July 2016
75|Not yet recruiting|Human Biological Responses to Low Level Ozone||Other:Ozone;  Other:FilteredAir|Interventional||Other / U.S. Fed|Change in nasal % Polymorphonuclear Leukocyte (PMN);  RNAgeneexpressionprofiles;  ChangeinNasalImmunemediatorsofcytokines;  Changeinsputumcellcounts;  ChangeinFEV1;  ChangeinFlowmediateddilation;  Changeinheartratevariability(HRV);  Changeinleftventricularcontractility|16|NCT02857283|August 2016
76|Enrolling by invitation|Changes in Footwear Comfort and Performance in High School Football Players||Other:ModerateStiffnessFootwear;  Other:HighStiffnessFootwear|Interventional||Other|Footwear comfort rating using a 100mm visual analog scale;  Injuryincidence|100|NCT02856360|July 2016
77|Recruiting|Pre-hospital Advanced Therapies for Control of Hemorrhage - Pelvis||Device:PelvicBinder|Interventional||Other|MortalityRate;  PainScores-VisualAnalogScale;  SkinComplications;  Lengthofstayinhospital;  BloodTransfusions|75|NCT02855060|July 2016
78|Recruiting|Duke Scleroderma Clinic Patient Registry||Other:Registry|Observational||Other|Change in disease activity as measured by Rodnan Skin Score;  Change in disease activity as measured by patient reported Scleroderma Health Associated Questionnaire (SHAQ)|1000|NCT02851875|April 2016
